id,from,to,priority,type,shape,name,spreadType,bidi,distance
104191081,1202223226,5528047665,1,highway.footway,"1848.00,1540.56 1851.10,1537.60 1854.70,1533.79 1859.80,1530.78 1868.57,1528.79 1873.33,1526.25 1878.56,1522.55",,center,,
104287998,9891315467,1285681813,1,highway.footway,"2205.16,1871.93 2203.50,1867.98 2199.63,1858.24 2202.40,1836.63",,center,,
104288000,1203301227,1383458991,1,highway.service,"2168.28,1840.40 2148.71,1825.72 2145.55,1824.29 2127.72,1820.89 2122.12,1822.07 2118.08,1825.35",,,,
104288004,1203301170,cluster_1203301070_2460232852,1,highway.footway,"2028.71,1633.24 2020.37,1627.82",,center,,
104314737#0,1203692604,9853596272,1,highway.footway,"1936.93,1676.88 1955.38,1682.41 1977.82,1681.08",,center,,
104392616,1204390143,1204390131,1,highway.service,"1776.83,1667.22 1775.71,1695.80 1775.02,1704.46 1771.88,1712.44 1760.05,1730.12 1752.90,1736.83 1743.91,1742.06 1720.93,1752.38",,center,,
104392619#1,3342715549,cluster_1204390139_9916961547,1,highway.footway,"1707.08,1746.31 1656.85,1767.74",,center,,
1044517649,9611198918,9611198917,1,highway.footway,"2761.69,914.64 2777.37,915.73 2778.63,897.71 2763.18,896.65",,center,,
1044592562#0,cluster_1673527224_1673527227_21487161_3781110311_3781110312_3781110313_3918673901_3918673903_3918673904_4603453181_51974030_6476575480,9678606278,17,railway.tram,"2455.05,1536.57 2450.62,1594.76",,center,,
104567844,1206481808,1206481791,1,highway.service,"2462.60,598.30 2469.68,608.57 2494.66,610.33 2506.10,602.14",,,,
104581979#0,cluster_1206624326_6967775513,6967775512,1,highway.service,"2391.24,936.16 2392.05,927.05 2393.36,924.03 2395.83,922.19 2400.48,921.48 2410.70,922.08",,center,,
104581979#1,6967775512,cluster_1206624322_6967775519,1,highway.service,"2410.70,922.08 2417.13,922.63 2419.57,923.81 2421.34,925.64 2422.10,927.29 2422.61,929.55 2421.67,938.35",,center,,
1046153050,1785414414,cluster_1857078817_1857078819_21487162_26748887_3781110320_3781110322_3781110323_3781110324_3781110325_4363314592_4943615784_4943615793_51965345_8308269764_8308269765_8308269766_8308269767,17,railway.tram,"2429.90,1807.64 2428.39,1824.55 2426.99,1842.86 2424.76,1871.86",,center,,
104786912#0,1208647678,7146631152,1,highway.pedestrian,"2861.51,826.47 2859.07,855.34 2846.38,854.27",,center,,
